graph,algo,seed,s,t,dist,time_dist,search_space
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,12,26,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,12,26,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,1,37,2,1.5020370483398438e-05,3
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,1,37,2,3.504753112792969e-05,43
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,1,37,2,1.71661376953125e-05,3
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,1,37,2,1.7881393432617188e-05,3
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,7,4,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,7,4,2,3.695487976074219e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,7,4,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,7,4,2,2.193450927734375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,11,6,2,1.52587890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,11,6,2,3.719329833984375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,11,6,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,11,6,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,4,14,2,1.4781951904296875e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,4,14,2,3.695487976074219e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,4,14,2,2.193450927734375e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,4,14,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,3,34,2,2.09808349609375e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,3,34,2,4.315376281738281e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,3,34,2,2.09808349609375e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,3,34,2,2.5272369384765625e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,11,22,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,11,22,2,3.790855407714844e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,11,22,2,1.9073486328125e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,11,22,2,2.384185791015625e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,35,10,2,2.09808349609375e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,35,10,2,4.506111145019531e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,35,10,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,35,10,2,2.09808349609375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,35,34,1,1.0013580322265625e-05,2
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,35,34,1,1.3828277587890625e-05,5
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,35,34,1,1.0967254638671875e-05,2
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,35,34,1,7.867813110351562e-06,1
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,20,23,2,1.71661376953125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,20,23,2,3.814697265625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,20,23,2,2.0265579223632812e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,20,23,2,2.7894973754882812e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,33,11,2,1.71661376953125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,33,11,2,3.814697265625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,33,11,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,33,11,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,18,8,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,18,8,2,3.790855407714844e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,18,8,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,18,8,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,13,20,2,1.71661376953125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,13,20,2,3.719329833984375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,13,20,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,13,20,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,25,32,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,25,32,2,3.719329833984375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,25,32,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,25,32,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,1,11,2,1.4066696166992188e-05,3
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,1,11,2,3.2901763916015625e-05,43
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,1,11,2,1.621246337890625e-05,3
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,1,11,2,2.193450927734375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,25,8,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,25,8,2,3.5762786865234375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,25,8,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,25,8,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,0,17,1,2.5033950805664062e-05,17
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,0,17,1,2.9325485229492188e-05,20
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,0,17,1,2.5033950805664062e-05,17
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,0,17,1,2.3603439331054688e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,37,31,2,1.4781951904296875e-05,3
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,37,31,2,3.504753112792969e-05,43
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,37,31,2,1.7881393432617188e-05,3
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,37,31,2,2.193450927734375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,27,33,2,1.71661376953125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,27,33,2,3.6716461181640625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,27,33,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,27,33,2,2.4080276489257812e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,31,36,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,31,36,2,3.6716461181640625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,31,36,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,31,36,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,2,7,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,2,7,2,3.790855407714844e-05,46
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,2,7,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,2,7,2,2.4080276489257812e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,21,6,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,21,6,2,3.719329833984375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,21,6,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,21,6,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,8,25,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,8,25,2,3.6716461181640625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,8,25,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,8,25,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,37,5,2,1.5020370483398438e-05,3
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,37,5,2,3.409385681152344e-05,43
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,37,5,2,1.6927719116210938e-05,3
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,37,5,2,2.193450927734375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,18,19,1,1.0013580322265625e-05,3
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,18,19,1,1.5020370483398438e-05,6
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,18,19,1,1.1920928955078125e-05,3
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,18,19,2,2.4080276489257812e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,30,29,1,9.298324584960938e-06,2
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,30,29,1,1.4066696166992188e-05,5
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,30,29,1,1.0967254638671875e-05,2
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,30,29,1,7.867813110351562e-06,1
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,0,35,1,4.1961669921875e-05,35
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,0,35,1,4.601478576660156e-05,38
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,0,35,1,4.1961669921875e-05,35
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,0,35,1,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,3,4,1,1.0013580322265625e-05,3
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,3,4,1,1.5020370483398438e-05,6
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,3,4,1,1.1920928955078125e-05,3
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,3,4,2,3.075599670410156e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,29,18,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,29,18,2,4.982948303222656e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,29,18,2,2.002716064453125e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,29,18,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,17,37,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,17,37,2,3.6716461181640625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,17,37,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,17,37,2,1.9073486328125e-05,3
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,34,9,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,34,9,2,3.719329833984375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,34,9,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,34,9,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,34,27,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,34,27,2,5.1021575927734375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,34,27,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,34,27,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,4,12,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,4,12,2,3.719329833984375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,4,12,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,4,12,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,28,14,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,28,14,2,3.814697265625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,28,14,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,28,14,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,12,33,2,1.71661376953125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,12,33,2,3.6716461181640625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,12,33,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,12,33,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,18,13,2,1.5735626220703125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,18,13,2,3.790855407714844e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,18,13,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,18,13,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,31,25,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,31,25,2,3.695487976074219e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,31,25,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,31,25,2,2.384185791015625e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,20,9,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,20,9,2,3.6716461181640625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,20,9,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,20,9,2,2.2649765014648438e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,15,22,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,15,22,2,3.814697265625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,15,22,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,15,22,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,3,0,1,8.344650268554688e-06,1
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,3,0,1,2.5987625122070312e-05,38
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,3,0,1,9.059906005859375e-06,1
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,3,0,1,1.8835067749023438e-05,3
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,3,36,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,3,36,2,3.933906555175781e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,3,36,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,3,36,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,20,6,2,1.5735626220703125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,20,6,2,3.790855407714844e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,20,6,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,20,6,2,2.574920654296875e-05,4
